open,high,low,close,volume,vwap,timestamp,transactions,otc
115.33,117.793,115.12,117.36,16066285.0,117.0497,2024-09-23 04:00:00,133024,
117.84,118.16,116.83,117.05,11984863.0,117.2277,2024-09-24 04:00:00,106279,
116.485,117.05,114.04,114.77,13816041.0,114.9262,2024-09-25 04:00:00,138446,
111.14,113.48,111.14,112.8,16887908.0,112.7461,2024-09-26 04:00:00,184615,
113.76,116.09,113.25,115.82,15963973.0,115.3679,2024-09-27 04:00:00,142356,
115.46,117.39,114.96,117.22,13250657.0,116.6715,2024-09-30 04:00:00,121829,
116.04,120.6,115.93,119.93,23235878.0,119.6142,2024-10-01 04:00:00,232394,
121.93,122.82,120.2,121.52,17129676.0,121.4143,2024-10-02 04:00:00,178445,
121.9,123.17,120.929,122.58,16524334.0,122.3656,2024-10-03 04:00:00,171027,
123.2,125.19,122.43,124.83,19759207.0,124.4638,2024-10-04 04:00:00,187143,
125.25,126.34,124.86,125.37,15714440.0,125.5728,2024-10-07 04:00:00,158711,
123.88,124.02,121.26,122.04,14818475.0,122.2706,2024-10-08 04:00:00,156201,
120.9,122.5799,120.8,122.09,11144864.0,121.9597,2024-10-09 04:00:00,117312,
123.16,123.7013,122.29,123.14,10243320.0,123.1971,2024-10-10 04:00:00,103383,
123.1,124.0339,122.94,123.61,8294839.0,123.6517,2024-10-11 04:00:00,93439,
123.24,124.26,122.615,124.08,9808122.0,123.7784,2024-10-14 04:00:00,101067,
120.82,121.95,119.78,120.35,15771317.0,120.7208,2024-10-15 04:00:00,161010,
120.89,121.435,120.6,120.66,8426770.0,120.8558,2024-10-16 04:00:00,99624,
120.76,121.58,119.71,120.35,11204857.0,120.4849,2024-10-17 04:00:00,124546,
120.44,120.64,119.15,120.01,12898640.0,119.8693,2024-10-18 04:00:00,105267,
120.98,121.48,119.72,120.08,10177777.0,120.2266,2024-10-21 04:00:00,99097,
120.26,121.19,119.94,120.7,9201408.0,120.6753,2024-10-22 04:00:00,89939,
119.97,120.75,119.4,120.27,8320330.0,120.0688,2024-10-23 04:00:00,105123,
120.0,120.44,119.125,119.59,9905556.0,119.6395,2024-10-24 04:00:00,113079,
120.2,120.43,119.315,119.49,10714583.0,119.7032,2024-10-25 04:00:00,115161,
116.79,119.01,116.77,118.9,11844545.0,118.3408,2024-10-28 04:00:00,126465,
118.58,119.1719,117.0701,117.28,14731024.0,117.638,2024-10-29 04:00:00,124634,
117.66,118.27,116.48,116.69,12303738.0,117.1882,2024-10-30 04:00:00,140486,
117.15,118.67,116.68,116.78,20511977.0,117.1856,2024-10-31 04:00:00,198767,
119.93,119.95,114.84,114.95,20939321.0,116.4545,2024-11-01 04:00:00,213792,
116.07,118.7,115.93,118.61,14965433.0,118.1916,2024-11-04 05:00:00,132692,
119.08,119.21,118.01,118.96,10436744.0,118.7766,2024-11-05 05:00:00,113753,
121.145,121.91,119.3,121.0,20807681.0,120.9702,2024-11-06 05:00:00,202598,
121.3,121.5,119.61,121.15,12184431.0,120.7626,2024-11-07 05:00:00,134537,
120.98,121.42,119.66,121.11,12835969.0,120.7548,2024-11-08 05:00:00,119205,
121.0,121.62,120.07,120.47,11969663.0,120.6098,2024-11-11 05:00:00,120823,
121.13,121.31,119.8365,120.35,11972802.0,120.5456,2024-11-12 05:00:00,116855,
120.565,122.05,118.8,121.47,15127877.0,120.8786,2024-11-13 05:00:00,136799,
121.66,121.88,120.33,120.56,13041845.0,120.8118,2024-11-14 05:00:00,125710,
120.4,121.24,119.13,119.31,19051713.0,119.8036,2024-11-15 05:00:00,134044,
119.79,120.62,119.27,120.31,14243701.0,120.1554,2024-11-18 05:00:00,113633,
119.75,119.75,118.2,118.63,11584382.0,118.764,2024-11-19 05:00:00,113931,
119.17,120.47,118.64,120.32,11360932.0,119.7197,2024-11-20 05:00:00,106388,
121.08,122.5547,120.27,121.93,14675422.0,121.7182,2024-11-21 05:00:00,132067,
121.82,123.21,121.64,121.79,13323431.0,122.0354,2024-11-22 05:00:00,115021,
121.43,121.88,119.61,119.97,26580295.0,120.2182,2024-11-25 05:00:00,142030,
119.53,119.68,117.845,117.97,14827327.0,118.2764,2024-11-26 05:00:00,150872,
118.09,118.73,117.43,117.66,11079122.0,118.0094,2024-11-27 05:00:00,101044,
117.44,118.5,116.95,117.96,9426499.0,118.0571,2024-11-29 05:00:00,76259,
118.05,118.2,116.82,117.85,12687317.0,117.5641,2024-12-02 05:00:00,112661,
118.72,118.72,117.255,117.67,11756566.0,117.8439,2024-12-03 05:00:00,117394,
117.5,117.55,113.8612,114.28,19520583.0,114.7285,2024-12-04 05:00:00,172007,
114.71,115.62,114.06,114.78,15751204.0,114.9055,2024-12-05 05:00:00,145797,
114.54,114.77,113.5,113.57,16171066.0,113.8619,2024-12-06 05:00:00,160187,
114.64,114.94,112.745,112.9,17412565.0,113.7262,2024-12-09 05:00:00,166438,
113.585,113.88,111.75,112.67,20990943.0,112.898,2024-12-10 05:00:00,180433,
112.0,112.39,111.11,111.92,32392238.0,111.8378,2024-12-11 05:00:00,188523,
111.59,112.38,110.78,111.82,14543256.0,111.752,2024-12-12 05:00:00,147632,
111.899,111.899,110.25,110.84,13106079.0,110.838,2024-12-13 05:00:00,133449,
110.2,110.4,108.16,108.47,20256088.0,108.9846,2024-12-16 05:00:00,181031,
107.235,108.17,106.7869,108.01,17553995.0,107.5348,2024-12-17 05:00:00,171631,
107.57,108.83,106.31,106.42,17114542.0,107.4301,2024-12-18 05:00:00,147532,
107.39,107.67,105.21,105.51,20565557.0,105.8964,2024-12-19 05:00:00,183357,
105.45,106.135,104.84,105.87,40141153.0,105.716,2024-12-20 05:00:00,153145,
105.31,106.6,104.92,106.3,12285078.0,105.7811,2024-12-23 05:00:00,115533,
106.52,107.19,105.7,106.4,7806997.0,106.5538,2024-12-24 05:00:00,69977,
106.52,107.03,105.94,106.49,9653408.0,106.4053,2024-12-26 05:00:00,104641,
106.3,107.99,105.77,106.48,11943906.0,106.7825,2024-12-27 05:00:00,119688,
106.3,106.56,105.51,105.76,11080770.0,105.9177,2024-12-30 05:00:00,110670,
106.17,107.9,105.78,107.57,12387756.0,107.365,2024-12-31 05:00:00,114888,
108.275,109.0,106.88,107.31,12685447.0,107.7465,2025-01-02 05:00:00,133847,
108.0,108.49,107.46,107.86,14237885.0,107.9386,2025-01-03 05:00:00,112657,
108.24,109.78,107.52,107.74,15623677.0,108.3455,2025-01-06 05:00:00,137689,
108.94,110.06,108.28,108.75,12625890.0,109.0058,2025-01-07 05:00:00,117254,
107.31,107.71,106.01,106.93,17858110.0,107.0065,2025-01-08 05:00:00,160435,
108.7,110.1,105.78,106.54,19304499.0,106.9053,2025-01-10 05:00:00,178906,
107.125,109.63,107.125,109.29,17073395.0,108.8977,2025-01-13 05:00:00,160721,
108.79,109.76,107.83,109.72,11191175.0,108.9642,2025-01-14 05:00:00,113902,
110.05,111.73,109.47,111.51,14521095.0,111.1972,2025-01-15 05:00:00,119890,
111.19,111.69,110.55,111.32,10366585.0,111.1713,2025-01-16 05:00:00,107114,
111.03,112.8651,110.82,112.32,19298504.0,112.1327,2025-01-17 05:00:00,141882,
112.05,112.175,111.1305,111.47,20416286.0,111.6485,2025-01-21 05:00:00,174155,
111.2,111.57,109.4,109.53,15718012.0,110.3749,2025-01-22 05:00:00,141576,
110.31,111.1425,109.61,110.15,13726784.0,110.2201,2025-01-23 05:00:00,132892,
110.24,110.71,108.41,108.66,14235885.0,108.9489,2025-01-24 05:00:00,127822,
109.01,110.4506,108.39,110.17,15926670.0,109.6693,2025-01-27 05:00:00,158570,
110.41,110.87,107.79,108.04,15862029.0,108.5558,2025-01-28 05:00:00,134646,
107.71,108.78,107.47,108.67,12345523.0,108.3637,2025-01-29 05:00:00,127777,
109.24,109.85,108.7,109.57,14346335.0,109.4386,2025-01-30 05:00:00,135087,
